Description	Ensembl GeneIDs
immunoglobulin heavy variable V1-44	
immunoglobulin heavy variable V1-46	
MAP/microtubule affinity regulating kinase 4, pseudogene	
predicted gene 9222	
secretoglobin, family 2B, member 17	ENSMUSG00000098094
voltage-dependent anion channel 1 pseudogene	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	
zinc finger, MYND-type containing 8 pseudogene 1	
high mobility group box 2 pseudogene	
ribosomal protein L31, pseudogene 18	ENSMUSG00000097719
predicted gene 9230	
predicted gene 9231	
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5 pseudogene	
immunoglobulin heavy variable 1-62-1	
predicted pseudogene 9234	
immunoglobulin heavy variable 1-62-3	ENSMUSG00000096767
high mobility group box 2 pseudogene	
predicted pseudogene 9237	
transcription elongation factor B (SIII), polypeptide 2 pseudogene	ENSMUSG00000105599
predicted gene 9239	
src family associated phosphoprotein 2 pseudogene	ENSMUSG00000108502
heterogeneous nuclear ribonucleoprotein A3 pseudogene	ENSMUSG00000096156
claspin homolog pseudogene	
predicted gene 9244	
WW domain binding protein 11 pseudogene	
zinc finger, MYND-type containing 8 pseudogene 2	ENSMUSG00000082080
L-lactate dehydrogenase A pseudogene	
high mobility group box 2 pseudogene	ENSMUSG00000081932
predicted gene 9248	
predicted gene 9249	
RIKEN cDNA 2610021A01 gene	
high mobility group box 2 pseudogene	ENSMUSG00000105749
3-phosphoglycerate dehydrogenase pseudogene	ENSMUSG00000091401
immunoglobulin heavy variable 1-73	
nuclear import 7 pseudogene	
Cd9 antigen, pseudogene	
immunoglobulin heavy variable 8-14	
tumor protein, translationally-controlled, pseudogene 1	
hippocalcin-like 1 pseudogene	
signaling molecule ATTP pseudogene	
predicted gene 9257	
immunoglobulin heavy variable 1-80	
immunoglobulin heavy variable 1-81	
predicted gene 9258	
predicted gene 9259	
ornithine decarboxylase, structural 1 pseudogene	
immunoglobulin heavy variable 1-85	
immunoglobulin heavy variable 1-86	
ribosomal protein L17 pseudogene	ENSMUSG00000115239
RIKEN cDNA 1700016P03 gene	
predicted gene 9265	
predicted gene 9266	ENSMUSG00000080892
predicted gene 9267	ENSMUSG00000114034
vomeronasal 2, receptor, pseudogene 158	ENSMUSG00000091528
predicted gene 9269	
predicted gene 9271	
zinc finger protein 936	ENSMUSG00000064194
phosducin-like 3 pseudogene	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098095
sorbitol dehydrogenase pseudogene	ENSMUSG00000115202
eukaryotic translation elongation factor 1 gamma pseudogene	
protein tyrosine phosphatase, receptor type, J pseudogene	
predicted gene 9278	ENSMUSG00000108438
NOP2 nucleolar protein homolog pseudogene	
60S ribosomal protein L5 pseudogene	ENSMUSG00000112946
ribosomal protein pseudogene	
ribosomal protein S2 pseudogene	ENSMUSG00000081543
predicted gene 9282	
hippocalcin-like 1 pseudogene	
kallikrein 1-related peptidase b19, pseudogene	ENSMUSG00000108440
general transcription factor III A pseudogene	ENSMUSG00000117298
predicted gene 9285	ENSMUSG00000096701
predicted gene 9286	
predicted gene 9287	
predicted gene 9288	
predicted gene 9289	ENSMUSG00000113638
high mobility group box 2 pseudogene	ENSMUSG00000115598
hippocalcin-like 1 pseudogene	
predicted gene 9292	
predicted gene 9293	
ribosomal protein S4, X-linked pseudogene	ENSMUSG00000044609
predicted gene 9297	
predicted gene 9298	
predicted gene 12494	
armadillo repeat containing, X-linked 3 pseudogene	
RAN, member RAS oncogene family pseudogene	ENSMUSG00000117014
ribosomal protein L10A pseudogene	ENSMUSG00000115732
SIVA1, apoptosis-inducing factor pseudogene	
predicted gene 9305	
ribosomal protein L17, pseudogene 7	
basic transcription factor 3, pseudogene 4	ENSMUSG00000082793
mitochondrial ribosomal protein L28 pseudogene	
pyruvate kinase, muscle pseudogene	
UDP-glucuronate decarboxylase 1 pseudogene	
predicted gene 9312	
karyopherin (importin) alpha 2 pseudogene	
predicted gene 9315	
F-box protein 34 pseudogene	
ribosomal protein L6 pseudogene	ENSMUSG00000105073
ribosomal protein L23A, pseudogene	ENSMUSG00000113018
heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene	ENSMUSG00000117122
amylase 2, pseudogene 1	ENSMUSG00000081506
ribosomal protein S24 pseudogene	ENSMUSG00000100865
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000114111
MAS-related GPR, member A2A	ENSMUSG00000093973
MAS-related GPR, member X1 pseudogene	ENSMUSG00000099659
SWIM type zinc finger 7 associated protein 1 pseudogene	
FSHD region gene 2 family member 5	
FSHD region gene 2 family member 6	
FSHD region gene 2 family member 7	
methyltransferase like 4, pseudogene 1	ENSMUSG00000079356
FSHD region gene 2 family member 3	
FSHD region gene 2 family member 2	
TAR DNA binding protein pseudogene	
predicted gene 9330	
ribosomal protein L7A pseudogene	ENSMUSG00000105221
methionine aminopeptidase 2 pseudogene	ENSMUSG00000108702
TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor pseudogene	
tubulin, alpha 1B pseudogene	ENSMUSG00000115273
N(alpha)-acetyltransferase 20, NatB catalytic subunit pseudogene	
F-box and WD-40 domain protein 28	ENSMUSG00000054087
ribosomal protein L27A, pseudogene 2	ENSMUSG00000058430
predicted gene 9340	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098031
3-phosphoglycerate dehydrogenase pseudogene	ENSMUSG00000110126
actin, beta pseudogene	ENSMUSG00000115349
predicted gene 9349	ENSMUSG00000117202
ribosomal protein L32 pseudogene	ENSMUSG00000117150
within bgcn homolog pseudogene	ENSMUSG00000106619
predicted gene 9354	ENSMUSG00000109059
karyopherin alpha 7 (importin alpha 8) pseudogene	ENSMUSG00000109526
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098199
tripartite motif-containing 13 pseudogene	ENSMUSG00000091040
lactate dehydrogenase A pseudogene	
lysine (K)-specific demethylase 4D pseudogene	ENSMUSG00000104799
phosphopantothenoylcysteine synthetase pseudogene	
eukaryotic translation initiation factor 2, subunit 1 alpha pseudogene	
TatD DNase domain containing 2 pseudogene	
predicted gene 11509	
ribosomal protein S7 pseudogene	ENSMUSG00000108744
lactate dehydrogenase A pseudogene	
ribosomal protein S3A pseudogene	
ribosomal protein SA pseudogene	ENSMUSG00000112076
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G, pseudogene 2	
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide pseudogene	
high mobility group box 1-like pseudogene	
predicted gene 9372	ENSMUSG00000090474
high mobility group box 2 pseudogene	ENSMUSG00000108909
predicted gene 9375	
predicted gene 9376	ENSMUSG00000092109
high mobility group box 2 pseudogene	ENSMUSG00000108902
predicted gene 9378	
high mobility group box 2 pseudogene	ENSMUSG00000106009
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098033
olfactory receptor family 4 subfamily K member 46, pseudogene 1	ENSMUSG00000096690
olfactory receptor family 4 subfamily F member 7D, pseudogene 1	ENSMUSG00000083059
SUMO1/sentrin specific peptidase 1 pseudogene	
predicted pseudogene 9385	
tetratricopeptide repeat domain 5 pseudogene	
ribosomal protein L31. pseudogene 25	
ribosomal protein L19, pseudogene 5	ENSMUSG00000115630
Wilms' tumour 1-associating protein pseudogene	ENSMUSG00000117643
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g pseudogene	ENSMUSG00000115028
Rap1A-retro1	
ribosomal protein L7A, pseudogene 7	ENSMUSG00000106258
predicted gene 9395	ENSMUSG00000115443
predicted gene 9396	ENSMUSG00000063328
makorin, ring finger protein, 1 pseudogene	
PRELI domain containing 1 pseudogene	ENSMUSG00000093669
post-GPI attachment to proteins 2 pseudogene	ENSMUSG00000117631
ribosomal protein L31, pseudogene 16	ENSMUSG00000097803
ribosomal protein L21 pseudogene	
predicted gene 9402	
heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene	ENSMUSG00000106499
aldo-keto reductase family 1, member B3 pseudogene	
predicted gene 9405	
predicted gene 9406	
predicted gene 9407	
heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene	ENSMUSG00000105869
cullin 4A pseudogene	
heterogeneous nuclear ribonucleoprotein A1 pseudogene	ENSMUSG00000117649
solute carrier family 5 (sodium-dependent vitamin transporter), member 6 pseudogene	ENSMUSG00000104680
predicted gene 9416	
mitochondrial ribosomal protein L51 pseudogene	
S-adenosylmethionine decarboxylase, pseudogene 7	
BCL2/adenovirus E1B interacting protein 3 pseudogene	
poly (A) polymerase alpha pseudogene	ENSMUSG00000084006
vinculin/alpha-catenin family member 1	ENSMUSG00000079051
signal peptidase complex subunit 2, pseudogene	
ribosomal protein L27A pseudogene	ENSMUSG00000083483
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000097966
high mobility group box 2 pseudogene	
predicted gene 9424	
predicted gene 14101	
ribosomal protein 10 pseudogene	ENSMUSG00000082647
ribosomal protein L21 pseudogene	
ribosomal protein L26, pseudogene 5	ENSMUSG00000081125
RNA binding motif protein, X-linked 2, pseudogene	
ribosomal protein L7A pseudogene	ENSMUSG00000083047
zinc finger protein 133, pseudogene	ENSMUSG00000083674
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000080870
predicted gene 14115	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000084371
predicted gene 9425	
zinc finger protein 442	ENSMUSG00000068130
ribosomal protein L7A pseudogene	ENSMUSG00000082375
ribosomal protein L7A pseudogene	ENSMUSG00000082689
proteasome (prosome, macropain) subunit, beta type 3 pseudogene	ENSMUSG00000082596
ribisomal protein L5, pseudogene 2	ENSMUSG00000082064
carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	
ribosomal protein L37a pseudogene	ENSMUSG00000061272
ribosomal protein S2 pseudogene	ENSMUSG00000082163
transcriptional adaptor 3 pseudogene	
ribosomal protein L17 pseudogene	ENSMUSG00000081946
predicted gene 11473	
ribosomal protein S2 pseudogene	ENSMUSG00000082239
ribosomal protein S2 pseudogene	ENSMUSG00000080955
spindlin family, member 2 pseudogene	ENSMUSG00000083144
BTB domain containing 35, family member 11	ENSMUSG00000094558
BTB domain containing 35, family member 10	ENSMUSG00000095716
BTB domain containing 35, family member 20	ENSMUSG00000094596
BTB domain containing 35, family member 17	ENSMUSG00000094273
spindlin family, member 2 pseudogene	ENSMUSG00000080073
predicted gene 14370	
predicted gene 9428	
developmental pluripotency associated 4 pseudogene	
actin, beta pseudogene	ENSMUSG00000082270
polypyrimidine tract binding protein 1 pseudogene	ENSMUSG00000083939
predicted gene 14448	
kelch-like 21 pseudogene	
proteasome (prosome, macropain) subunit, beta type 6, pseudogene	ENSMUSG00000082054
SSX member B6	ENSMUSG00000079702
predicted gene 14473	
predicted gene 14513	
mediator of RNA polymerase II transcription, subunit 4 homolog pseudogene	ENSMUSG00000080818
ribosomal protein L6 pseudogene	ENSMUSG00000081763
casein kinase 2, alpha 1 polypeptide, pseudogene 2	
heat shock protein 8 pseudogene	ENSMUSG00000081614
ribosomal protein L36, pseudogene 10	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	
predicted gene 9440	
high mobility group box 1-like pseudogene	ENSMUSG00000081569
desmoglein 1 alpha pseudogene	ENSMUSG00000084337
predicted gene 9442	
predicted gene 9443	ENSMUSG00000100450
predicted gene 12109	ENSMUSG00000081613
perilipin 3 pseudogene	ENSMUSG00000109204
SNW domain containing 1 pseudogene	
predicted gene 15363	
suppressor of cytokine signaling 6 pseudogene	ENSMUSG00000108892
mediator complex subunit 29 pseudogene	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000083232
ribosomal protein L6 pseudogene	ENSMUSG00000099717
predicted gene 9456	
ribosomal protein L22 pseudogene	
predicted gene 9458	ENSMUSG00000086726
predicted gene 10129	
glucose-6-phosphate isomerase, pseudogene	ENSMUSG00000043192
predicted gene 13007	ENSMUSG00000083852
predicted gene 9463	
calcyclin binding protein pseudogene	
predicted gene 9465	
DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 pseudogene	
predicted gene 15043	
predicted gene, 17756	ENSMUSG00000115119
ribosomal protein L36, pseudogene 6	
predicted gene, 16527	
ribosomal protein L21, pseudogene 9	ENSMUSG00000084017
TGFB-induced factor homeobox 1, pseudogene	ENSMUSG00000107270
predicted gene 16463	
predicted gene 10517	
predicted gene 9472	
SUMO/sentrin specific peptidase 5 pseudogene	
THO complex 4 pseudogene	
vomeronasal 2, receptor 125	
high mobility group box 1 pseudogene	
vomeronasal 2, receptor, pseudogene 13	ENSMUSG00000093767
predicted gene 12468	
predicted gene 10734	
predicted gene 12508	
mitochondrial ribosomal protein L41 pseudogene	
predicted gene 14826	ENSMUSG00000082759
La ribonucleoprotein domain family, member 1 pseudogene	
predicted gene 9484	
cyclin B2, pseudogene	
predicted gene 11596	ENSMUSG00000078261
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000111530
predicted gene 11569	ENSMUSG00000078260
VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)	ENSMUSG00000073131
predicted gene 11554	ENSMUSG00000078259
predicted gene 9488	
predicted gene 11564	ENSMUSG00000078258
predicted gene 14317	ENSMUSG00000086179
predicted gene 11567	ENSMUSG00000059845
vomeronasal 2, receptor, pseudogene 124	ENSMUSG00000093642
predicted gene 11565	ENSMUSG00000078256
RIKEN cDNA 2810428J06 gene	
POTE ankyrin domain family member 3C	ENSMUSG00000107280
mesoderm induction early response 1, family member 3 pseudogene	ENSMUSG00000099946
predicted gene 9497	ENSMUSG00000106068
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000097480
cytochrome c, somatic pseudogene	
predicted gene 15412	ENSMUSG00000085751
vomeronasal 1 receptor 124	ENSMUSG00000094221
lactate dehydrogenase A pseudogene	ENSMUSG00000115162
predicted gene 11468	ENSMUSG00000084840
predicted gene 9502	
RIKEN cDNA 1700025F24 gene	ENSMUSG00000100558
ribosomal protein S12, pseudogene 10	
testis expressed 53	ENSMUSG00000084782
vomeronasal 1 receptor 159	ENSMUSG00000095931
RIKEN cDNA 1700020N18 gene	ENSMUSG00000100253
bolA-like 3 pseudogene	
predicted gene 9507	ENSMUSG00000094913
predicted gene 9508	ENSMUSG00000112170
Ras-GTPase-activating protein SH3-domain binding protein 1 pseudogene	
predicted gene 9510	
vomeronasal 2, receptor, pseudogene 69	ENSMUSG00000090773
vomeronasal 2, receptor 70	ENSMUSG00000090806
predicted gene 9512	
prostate and testis expressed 11	ENSMUSG00000090710
sorting nexin 4 pseudogene	ENSMUSG00000117252
RIKEN cDNA 2310039H08 gene	ENSMUSG00000062619
predicted gene 9515	
heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene	ENSMUSG00000083136
predicted gene 9516	ENSMUSG00000081280
3-hydroxyisobutyrate dehydrogenase pseudogene	ENSMUSG00000082368
predicted gene 9517	ENSMUSG00000104103
predicted gene 9519	ENSMUSG00000108654
POU domain, class 2, transcription factor 3, related sequence 1	
predicted gene 9520	
coiled-coil domain containing 159	ENSMUSG00000006241
eukaryotic translation elongation factor 1 alpha 1 pseudogene	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	
methionine adenosyltransferase II, alpha pseudogene	
testis and ovary specific PAZ domain containing 1	ENSMUSG00000094985
pyruvate kinase, muscle pseudogene	ENSMUSG00000084022
late cornified envelope 1A1	ENSMUSG00000057609
TM2 domain containing 2 pseudogene	
predicted gene 9529	
predicted gene 9530	ENSMUSG00000096950
vomeronasal 2, receptor, pseudogene 110	ENSMUSG00000121466
SET nuclear oncogene pseudogene	
predicted gene 9534	
RIKEN cDNA 2510019K15 gene	
ribosomal protein L7A pseudogene	ENSMUSG00000112011
predicted gene 14024	
predicted gene 9536	ENSMUSG00000116721
SFT2 domain containing 3	ENSMUSG00000044982
enolase 1, alpha non-neuron pseudogene	
within bgcn homolog pseudogene	
ribosomal protein S12, pseudogene 24	ENSMUSG00000098181
predicted gene, 20783	
T cell receptor alpha variable 7-1	ENSMUSG00000104620
CDC-like kinase 3 pseudogene	
actin, gamma, cytoplasmic 1 pseudogene	
vomeronasal 2, receptor, pseudogene 22	
RIKEN cDNA 2610306M01 gene	ENSMUSG00000100164
predicted gene 9540	ENSMUSG00000099385
transmembrane protein 35 pseudogene	ENSMUSG00000102043
melanoma antigen family A pseudogene	
tetratricopeptide repeat domain 39C pseudogene	
spermine synthase, pseudogene	
Sgms1 opposite strand transcript 1	ENSMUSG00000097787
component of Sp100-rs-like	ENSMUSG00000094915
T cell receptor alpha variable 9D-1	ENSMUSG00000096478
RIKEN cDNA 2700038G22 gene	ENSMUSG00000097180
predicted gene 14702	
thyroid hormone receptor associated protein 3 pseudogene	ENSMUSG00000113022
heat shock protein 1 (chaperonin), pseudogene 1	ENSMUSG00000108069
non-POU-domain-containing, octamer binding protein pseudogene	
predicted gene 9548	
predicted gene 14496	ENSMUSG00000098505
predicted gene 9550	
RIKEN cDNA 2810038D20 gene	
ribosomal protein L7A pseudogene	
cytochrome c, somatic pseudogene	
lactate dehydrogenase B pseudogene	ENSMUSG00000100044
ribosomal protein L26 pseudogene	ENSMUSG00000063754
within bgcn homolog pseudogene	
diphthamine biosynethesis 7	ENSMUSG00000026975
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098225
Ig kappa chain variable region	
RIKEN cDNA 2810449D17 gene	
heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene	
SMT3 suppressor of mif two 3 homolog 2 pseudogene	
glial cells missing homolog 1 pseudogene	ENSMUSG00000108134
predicted gene 10266	
V(kappa) gene product	
cytokine induced apoptosis inhibitor 1 pseudogene	
cyclin Y-like 1 pseudogene	
predicted gene 9564	
predicted gene 9567	
distal-less homeobox 6, opposite strand 3	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	
predicted gene 9569	
RIKEN cDNA 2900005J15 gene	ENSMUSG00000043833
cold shock domain containing E1, RNA binding pseudogene	
fibrillarin pseudogene	ENSMUSG00000083298
mucin 21	ENSMUSG00000090588
defensin, alpha, pseudogene 6	
predicted gene 13710	ENSMUSG00000087362
RIKEN cDNA 2900089D17 gene	
protease (prosome, macropain) 26S subunit, ATPase 1 pseudogene	ENSMUSG00000083692
ribosomal protein L37a, pseudogene 2	
RIKEN cDNA 3110009F21 gene	ENSMUSG00000113331
minichromosome maintenance deficient 4 homolog pseudogene	ENSMUSG00000092269
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098125
splicing regulatory glutamine/lysine-rich protein 1interacting protein 1	ENSMUSG00000021716
RIKEN cDNA 3110021A11 gene	
DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 pseudogene	ENSMUSG00000112893
RIKEN cDNA 3110039M20 gene	ENSMUSG00000104861
geminin pseudogene	ENSMUSG00000116833
LIM-domain containing, protein kinase pseudogene	ENSMUSG00000112002
vomeronasal 2, receptor, pseudogene 7	ENSMUSG00000093546
ribosomal protein S12-like 1	ENSMUSG00000078087
antigenic determinant of rec-A protein pseudogene	ENSMUSG00000117115
predicted gene 9587	
RIKEN cDNA 3110045C21 gene	ENSMUSG00000097503
RIKEN cDNA 3110070M22 gene	ENSMUSG00000074635
phenazine biosynthesis-like protein domain containing 2	ENSMUSG00000020072
RIKEN cDNA 1700040B14 gene	
predicted gene, 20784	
RIKEN cDNA 1700022I11 gene	ENSMUSG00000028451
RIKEN cDNA 1700041C23 gene	ENSMUSG00000100282
RIKEN cDNA 1700044K03 gene	ENSMUSG00000100297
serine peptidase inhibitor, clade B, member 3A pseudogene	
ribosomal protein L31, pseudogene 6	ENSMUSG00000082532
Pik3r3 upstream reading frame	ENSMUSG00000078593
RIKEN cDNA 1700042D18 gene	
RIKEN cDNA 1700034G24 gene	ENSMUSG00000097962
RIKEN cDNA 1700031L13 gene	ENSMUSG00000099863
RIKEN cDNA 1700018L02 gene	
predicted gene 9593	
RIKEN cDNA 1700047M11 gene	ENSMUSG00000100147
RIKEN cDNA 1700060O08 gene	
RIKEN cDNA 1700054K19 gene	ENSMUSG00000100219
predicted gene 9597	ENSMUSG00000121405
RIKEN cDNA 1700066J03 gene	ENSMUSG00000097717
RIKEN cDNA 1700052I22 gene	ENSMUSG00000101912
potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 1	ENSMUSG00000020164
testis expressed 43	ENSMUSG00000032900
RIKEN cDNA 1700083H02 gene	ENSMUSG00000100668
RIKEN cDNA 1700086P04 gene	ENSMUSG00000085085
RIKEN cDNA 1700084E18 gene	
transmembrane protein 132C, opposite strand	ENSMUSG00000087104
RIKEN cDNA 1700093E11 gene	
NSA2 ribosome biogenesis homolog pseudogene	ENSMUSG00000117071
RIKEN cDNA 1700109G14 gene	ENSMUSG00000101505
RIKEN cDNA 1700092C02 gene	ENSMUSG00000086781
ribosomal protein L31, pseudogene 17	ENSMUSG00000072255
RIKEN cDNA 1700095B10 gene	ENSMUSG00000098230
predicted gene 9599	
RIKEN cDNA 1700121C10 gene	
NHP2-like protein 1	
predicted gene 9602	ENSMUSG00000090539
predicted gene 9603	
predicted gene 9604	ENSMUSG00000109920
predicted gene 14353	
mitochondrial import receptor subunit TOM20 homolog	ENSMUSG00000110460
voltage-dependent anion channel 1 pseudogene	
vomeronasal 1 receptor, pseudogene 74	ENSMUSG00000092616
RIKEN cDNA 4930404I05 gene	ENSMUSG00000087354
protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 9	ENSMUSG00000045217
vomeronasal 1 receptor 107	ENSMUSG00000095275
vomeronasal type-2 receptor 116-like	
immunoglobulin heavy variable 1-61	
odr4 GPCR localization factor homolog pseudogene	
cylicin, basic protein of sperm head cytoskeleton 1	ENSMUSG00000073001
Ig heavy chain V region 134	
immunoglobulin heavy chain variable region VH7183 pseudogene	
immunoglobulin heavy chain V region VHQ52.a22.67	
T cell receptor alpha variable 8-1	ENSMUSG00000076831
RIKEN cDNA 4930449I24 gene	ENSMUSG00000079093
STAT3-interacting protein as a repressor pseudogene	
histocompatibility 2, T region pseudogene	ENSMUSG00000073980
lectin, galactose binding, soluble 1, pseudogene 1	
Ig heavy chain V region IR2 precursor-like	
predicted gene 9614	
predicted gene 9615	
ribosomal protein S4, X-linked pseudogene	ENSMUSG00000114003
adhesion G protein-coupled receptor D2, pseudogene	
predicted gene 9618	
RIKEN cDNA 4921536K21 gene	ENSMUSG00000020434
ribosomal protein S4, X-linked pseudogene	ENSMUSG00000084249
SET translocation pseudogene	ENSMUSG00000084172
glyceraldehyde-3-phosphate dehydrogenase pseudogene	
family with sequence similarity 60, member A pseudogene	
vomeronasal 2, receptor, pseudogene 89	ENSMUSG00000108829
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098171
cytidine 5'-triphosphate synthase pseudogene	ENSMUSG00000083994
ribosomal protein L7A, pseudogene 5	ENSMUSG00000071052
dual specificity phosphatase 28	ENSMUSG00000047067
predicted gene 14472	
ribosomal protein, large, P0 pseudogene	ENSMUSG00000097906
predicted gene 9628	ENSMUSG00000113319
predicted gene 9630	ENSMUSG00000095874
predicted gene 9631	
predicted gene, 29690	
high mobility group box 1 pseudogene	
predicted gene 15364	
predicted gene 13623	
ribosomal protein S8 pseudogene	ENSMUSG00000114713
ribosomal protein S2 pseudogene	ENSMUSG00000080985
RIKEN cDNA 1700001G17 gene	ENSMUSG00000103746
predicted gene 15002	
NSA2 ribosome biogenesis homolog pseudogene	ENSMUSG00000114778
RIKEN cDNA 1700039M10 gene	ENSMUSG00000097933
vomeronasal 2, receptor, pseudogene 91	ENSMUSG00000110490
RIKEN cDNA 1700097N02 gene	ENSMUSG00000099474
RIKEN cDNA 1700094J05 gene	ENSMUSG00000101695
RIKEN cDNA 1700095A21 gene	ENSMUSG00000086046
murine leukemia retrovirus	
ribosomal protein L21, pseudogene 15	ENSMUSG00000083596
predicted gene 9639	ENSMUSG00000096131
predicted gene 12579	ENSMUSG00000083145
RIKEN cDNA 5730408K05 gene	
RIKEN cDNA 2410017I17 gene	ENSMUSG00000038311
predicted gene, 20787	
predicted gene 9640	
ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene	ENSMUSG00000082090
RIKEN cDNA 4931428A05 gene	
RIKEN cDNA 4932416J16 gene	
predicted gene 14506	ENSMUSG00000081597
predicted gene 9643	ENSMUSG00000115605
RIKEN cDNA 4933424M12 gene	ENSMUSG00000087289
predicted gene, 29691	
RIKEN cDNA 4933416O17 gene	ENSMUSG00000113802
predicted gene 9644	ENSMUSG00000110515
RIKEN cDNA 4933409L14 gene	
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000082778
macroH2A.3 histone	
ribosomal protein L7A pseudogene	ENSMUSG00000106421
phosphatase, orphan 1 pseudogene	
ribosomal protein S19, pseudogene 8	ENSMUSG00000096920
predicted gene 9648	
spindlin family, member 3, pseudogene	
developmental pluripotency associated 1 family member pseudogene	
predicted gene, 17758	
predicted pseudogene 10693	ENSMUSG00000121352
RIKEN cDNA 4930429B21 gene	
predicted gene 9652	
heat shock protein 1 (chaperonin) pseudogene 5	
predicted gene 16394	
RIKEN cDNA 4930442L01 gene	ENSMUSG00000087223
RIKEN cDNA 4930455J16 gene	ENSMUSG00000114384
cyclin-dependent kinase 19, opposite strand	
RIKEN cDNA 4930518J20 gene	
phosphoribosyltransferase domain containing 1 pseudogene	ENSMUSG00000086821
tyrosine kinase, non-receptor 2, opposite strand	ENSMUSG00000075265
RIKEN cDNA 4930519G04 gene	ENSMUSG00000029564
predicted gene 9195	
motilin receptor, pseudogene	ENSMUSG00000108975
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098002
ribosomal protein L27a-like pseudogene	
vomeronasal 2, receptor 76	ENSMUSG00000091239
ribosomal protein S6, pseudogene 2	ENSMUSG00000056772
ribosomal protein L3 pseudogene	ENSMUSG00000113711
non-POU-domain-containing, octamer binding protein pseudogene	ENSMUSG00000111707
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g pseudogene	
ribosomal protein L3 pseudogene	ENSMUSG00000117362
COMM domain containing 9 pseudogene	
cytochrome P450, family 2, subfamily d, member 38, pseudogene	ENSMUSG00000116354
predicted gene 9670	
ribosomal protein L21 pseudogene	ENSMUSG00000068014
predicted gene 9671	
predicted gene 9672	
prohibitin pseudogene	ENSMUSG00000082600
RIKEN cDNA 4930458B22 gene	
predicted gene 14340	
RIKEN cDNA 4930470P17 gene	ENSMUSG00000043583
RIKEN cDNA 4930483J18 gene	ENSMUSG00000047938
RIKEN cDNA 4930474N09 gene	ENSMUSG00000113210
RIKEN cDNA 4930465K10 gene	
RIKEN cDNA 4930505M18 gene	ENSMUSG00000093540
RIKEN cDNA 4930515G01 gene	ENSMUSG00000092183
hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5 pseudogene	ENSMUSG00000106456
RIKEN cDNA 4930517G24 gene	ENSMUSG00000120083
RIKEN cDNA 4930523C07 gene	ENSMUSG00000090394
Ig heavy chain V region	
RIKEN cDNA 4930542C12 gene	
predicted gene 9679	
RIKEN cDNA 4930527F14 gene	ENSMUSG00000115324
fatty acid hydroxylase domain containing 2	ENSMUSG00000086962
RIKEN cDNA 4930544G11 gene	ENSMUSG00000036463
cortexin domain containing 2	ENSMUSG00000105734
phosphatidylethanolamine binding protein 1 pseudogene	
coiled-coil domain containing 121	ENSMUSG00000029138
predicted gene 10064	ENSMUSG00000059352
predicted gene 9683	
RIKEN cDNA 4930563F15 gene	
RIKEN cDNA 4930563I02 gene	
predicted gene 14622	
testis expressed 46	ENSMUSG00000036921
RIKEN cDNA F530104D19 gene	
RIKEN cDNA 4930563N14 gene	
predicted gene 9685	ENSMUSG00000109983
