	Description	Ensembl GeneIDs
13030	cytochrome P450, family 4, subfamily f, polypeptide 39	ENSMUSG00000061126
13031	ligand dependent nuclear receptor interacting factor 1	ENSMUSG00000056260
13032	X-prolyl aminopeptidase 3, mitochondrial	ENSMUSG00000022401
13033	serine active site containing 1	ENSMUSG00000015659
13034	zinc finger SWIM-type containing 9	ENSMUSG00000070814
13037	carnitine deficiency-associated gene expressed in ventricle 3	ENSMUSG00000032803
13038	tropomyosin 4	ENSMUSG00000031799
13039	H4 clustered histone 1	ENSMUSG00000060093
13040	H4 clustered histone 2	ENSMUSG00000069266
13041	diphosphoinositol pentakisphosphate kinase 1	ENSMUSG00000033526
13042	cellular communication network factor 6	ENSMUSG00000062074
13043	DNA replication helicase/nuclease 2	ENSMUSG00000036875
13044	transmembrane protein 26	ENSMUSG00000060044
13045	ubiquitin specific peptidase 44	ENSMUSG00000020020
13046	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	ENSMUSG00000053825
13047	phosphatidylinositol glycan anchor biosynthesis, class L	ENSMUSG00000014245
13048	dynein, axonemal, heavy chain 2	ENSMUSG00000005237
13049	vitelline membrane outer layer 1 homolog (chicken)	ENSMUSG00000020830
13050	SLP adaptor and CSK interacting membrane protein	ENSMUSG00000057135
13051	PITPNM family member 3	ENSMUSG00000040543
13052	XIAP associated factor 1	ENSMUSG00000040483
13053	schlafen 5	ENSMUSG00000054404
13054	mediator complex subunit 13	ENSMUSG00000034297
13055	heat shock transcription factor family member 5	ENSMUSG00000070345
13056	spermatogenesis associated 32	ENSMUSG00000044787
13057	fatty acid desaturase domain family, member 6	ENSMUSG00000044788
13058	solute carrier family 7 (cationic amino acid transporter, y+ system), member 15	ENSMUSG00000020600
13059	D-tyrosyl-tRNA deacylase 2	ENSMUSG00000020956
13060	phosphoribosyl pyrophosphate synthetase 1-like 3	ENSMUSG00000079104
13061	TOG array regulator of axonemal microtubules 1	ENSMUSG00000035614
13062	pre-mRNA processing factor 39	ENSMUSG00000035597
13063	solute carrier family 39 (zinc transporter), member 9	ENSMUSG00000048833
13064	tRNA methyltransferase 61A	ENSMUSG00000060950
13065	glucose-fructose oxidoreductase domain containing 1	ENSMUSG00000051335
13066	ring finger protein 182	ENSMUSG00000044164
13067	solute carrier family 25, member 48	ENSMUSG00000021509
13068	zinc finger protein 459	ENSMUSG00000055560
13069	microtubule associated serine/threonine kinase family member 4	ENSMUSG00000034751
13070	RFT1 homolog	ENSMUSG00000052395
13071	SH2 domain containing 4B	ENSMUSG00000037833
13073	poly (ADP-ribose) polymerase family, member 4	ENSMUSG00000054509
13074	potassium channel regulator	ENSMUSG00000046168
13076	selection and upkeep of intraepithelial T cells 7	ENSMUSG00000049214
13077	apolipoprotein L 10B	ENSMUSG00000050014
13078	apolipoprotein L 11b	ENSMUSG00000091694
13079	tubulin, gamma complex associated protein 6	ENSMUSG00000051786
13080	von Willebrand factor A domain containing 5B2	ENSMUSG00000046613
13081	gamma-aminobutyric acid (GABA) receptor, rho 3	ENSMUSG00000074991
13082	RAB26, member RAS oncogene family	ENSMUSG00000079657
13083	heparan sulfate (glucosamine) 3-O-sulfotransferase 6	ENSMUSG00000039628
13084	protease, serine 34	ENSMUSG00000056399
13085	mesothelin-like	ENSMUSG00000041062
13086	colipase-like 2	ENSMUSG00000024224
13087	zinc finger protein 414	ENSMUSG00000073423
13088	RIKEN cDNA A530064D06 gene	ENSMUSG00000043939
13089	triggering receptor expressed on myeloid cells-like 2	ENSMUSG00000071068
13090	acyl-CoA synthetase bubblegum family member 2	ENSMUSG00000024207
13091	mutated in colorectal cancers	ENSMUSG00000071856
13092	Rho guanine nucleotide exchange factor (GEF) 37	ENSMUSG00000045094
13094	serine peptidase inhibitor, Kazal type 10	ENSMUSG00000044176
13095	zinc finger protein 532	ENSMUSG00000042439
13096	zinc finger protein 236	ENSMUSG00000041258
13097	zinc finger protein 516	ENSMUSG00000058881
13098	autophagy related 2A	ENSMUSG00000024773
13099	stearoyl-coenzyme A desaturase 4	ENSMUSG00000050195
13100	carboxypeptidase A6	ENSMUSG00000042501
13101	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	ENSMUSG00000042807
13102	ankyrin repeat domain 44	ENSMUSG00000052331
13103	unc-80, NALCN activator	ENSMUSG00000055567
13104	RNA binding motif protein 44	ENSMUSG00000070732
13105	protein phosphatase 1, regulatory subunit 12B	ENSMUSG00000073557
13106	DENN domain containing 1B	ENSMUSG00000056268
13107	family with sequence similarity 163, member A	ENSMUSG00000015484
13108	synaptotagmin XIV	ENSMUSG00000016200
13109	peptidyl-tRNA hydrolase 1 homolog	ENSMUSG00000053746
13110	nitric oxide synthase trafficker	ENSMUSG00000034738
13111	myosin IIIB	ENSMUSG00000042064
13113	phospholipase A2, group IVE	ENSMUSG00000050211
13114	leucine carboxyl methyltransferase 2	ENSMUSG00000074890
13115	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	ENSMUSG00000033411
13116	nucleolar protein 4-like	ENSMUSG00000061411
13117	seminal vesicle secretory protein 3B	ENSMUSG00000050383
13118	zinc finger protein 335	ENSMUSG00000039834
13119	baculoviral IAP repeat-containing 7 (livin)	ENSMUSG00000038840
13120	mediator complex subunit 12-like	ENSMUSG00000056476
13121	RIKEN cDNA E130311K13 gene	ENSMUSG00000048581
13122	folliculin interacting protein 2	ENSMUSG00000061175
13123	Fc receptor-like 5	ENSMUSG00000048031
13124	DENN domain containing 2C	ENSMUSG00000007379
13125	TAFA chemokine like family member 3	ENSMUSG00000055865
13126	EEIG family member 2	ENSMUSG00000040339
13127	phosphatidylinositol glycan anchor biosynthesis, class K	ENSMUSG00000039047
13128	myogenesis regulating glycosidase (putative)	ENSMUSG00000046312
13129	family with sequence similarity 166, member B	ENSMUSG00000042788
13130	DENN domain containing 4C	ENSMUSG00000038024
13131	ubiquitin specific peptidase 24	ENSMUSG00000028514
13132	acyl-CoA thioesterase 11	ENSMUSG00000034853
13133	selection and upkeep of intraepithelial T cells 2	ENSMUSG00000034359
13134	CUB and Sushi multiple domains 2	ENSMUSG00000028804
13135	cation channel, sperm associated 4	ENSMUSG00000048003
13136	forkhead-associated (FHA) phosphopeptide binding domain 1	ENSMUSG00000051435
13137	tubulin tyrosine ligase-like family, member 10	ENSMUSG00000029074
13138	family with sequence similarity 185, member A	ENSMUSG00000047221
13139	shisa family member 3	ENSMUSG00000050010
13140	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	ENSMUSG00000043635
13141	chemokine (C-X-C motif) ligand 3	ENSMUSG00000029379
13142	HFM1, ATP-dependent DNA helicase homolog	ENSMUSG00000043410
13143	potassium channel tetramerisation domain containing 10	ENSMUSG00000001098
13144	TAO kinase 3	ENSMUSG00000061288
13145	coiled-coil domain containing 63	ENSMUSG00000043036
13146	transmembrane protein 120B	ENSMUSG00000054434
13147	vacuolar protein sorting 37B	ENSMUSG00000066278
13148	galactose-3-O-sulfotransferase 4	ENSMUSG00000075593
13149	sidekick cell adhesion molecule 1	ENSMUSG00000039683
13150	speedy/RINGO cell cycle regulator family, member E4B	ENSMUSG00000029586
13151	thrombospondin, type I, domain containing 7A	ENSMUSG00000032625
13152	golgi associated RAB2 interactor 1B	ENSMUSG00000039742
13153	RIKEN cDNA D630045J12 gene	ENSMUSG00000063455
13154	zinc finger protein 786	ENSMUSG00000051499
13155	WAS/WASL interacting protein family, member 3	ENSMUSG00000086040
13156	MINDY lysine 48 deubiquitinase 4	ENSMUSG00000038022
13157	dynein, axonemal, heavy chain 6	ENSMUSG00000052861
13158	GC-rich sequence DNA binding factor 2	ENSMUSG00000035125
13159	F-box protein 41	ENSMUSG00000047013
13160	transmembrane and coiled coil domains 1	ENSMUSG00000030126
13161	beta-1,4-N-acetyl-galactosaminyl transferase 3	ENSMUSG00000041372
13162	transmembrane protein 150B	ENSMUSG00000046456
13163	zinc finger protein 78	ENSMUSG00000055150
13164	binder of sperm protein homolog 1	ENSMUSG00000074378
13165	CEA cell adhesion molecule 16	ENSMUSG00000014686
13166	transmembrane protein 145	ENSMUSG00000043843
13168	zinc finger protein 82	ENSMUSG00000098022
13169	FANCD2/FANCI-associated nuclease 1	ENSMUSG00000033458
13170	stabilizer of axonemal microtubules 2	ENSMUSG00000038570
13171	tripartite motif-containing 66	ENSMUSG00000031026
13172	beta-1,4-N-acetyl-galactosaminyl transferase 4	ENSMUSG00000055629
13173	non-coding transcript 1	ENSMUSG00000087090
13174	cortexin 1	ENSMUSG00000048644
13175	NIMA (never in mitosis gene a)-related expressed kinase 5	ENSMUSG00000037738
13176	HtrA serine peptidase 4	ENSMUSG00000037406
13177	hyaluronan and proteoglycan link protein 4	ENSMUSG00000007594
13178	ring finger protein 150	ENSMUSG00000047747
13179	adhesion G protein-coupled receptor L1	ENSMUSG00000013033
13180	deoxyhypusine synthase	ENSMUSG00000060038
13181	dynein regulatory complex subunit 7	ENSMUSG00000031786
13182	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	ENSMUSG00000031904
13183	tripartite motif-containing 67	ENSMUSG00000036913
13184	opioid binding protein/cell adhesion molecule-like	ENSMUSG00000062257
13185	prostate and testis expressed 2	ENSMUSG00000074452
13186	expressed sequence AI593442	ENSMUSG00000078307
13187	small nuclear RNA activating complex, polypeptide 5	ENSMUSG00000032398
13188	solute carrier family 9 (sodium/hydrogen exchanger), member 9	ENSMUSG00000031129
13189	GDP-mannose pyrophosphorylase B	ENSMUSG00000070284
13190	transglutaminase 4 (prostate)	ENSMUSG00000025787
13191	gasdermin C2	ENSMUSG00000056293
13192	diacylglycerol kinase kappa	ENSMUSG00000062393
13193	THO complex 2	ENSMUSG00000037475
13194	predicted gene 773	ENSMUSG00000073177
13195	cerebellar degeneration related antigen 1, opposite strand	ENSMUSG00000071753
13196	retrotransposon Gag like 5	ENSMUSG00000049191
13197	uracil phosphoribosyltransferase	ENSMUSG00000073016
13198	X-linked Kx blood group related, X-linked	ENSMUSG00000031258
13199	transcription elongation factor A (SII)-like 5	ENSMUSG00000054034
13200	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	ENSMUSG00000031271
13201	dynein axonemal assembly factor 6B	ENSMUSG00000042433
13202	BEN domain containing 3	ENSMUSG00000038214
13203	mitogen-activated protein kinase 15	ENSMUSG00000063704
13204	keratin 78	ENSMUSG00000050463
13205	zinc finger, DHHC domain containing 23	ENSMUSG00000036304
13206	glutaredoxin, cysteine rich 2	ENSMUSG00000073574
13207	nanos C2HC-type zinc finger 1	ENSMUSG00000072437
13208	lipocalin 10	ENSMUSG00000047356
13210	leucine decarboxylase 1	ENSMUSG00000023120
13211	kielin/chordin-like protein	ENSMUSG00000059022
13212	cytochrome c oxidase subunit 6B2	ENSMUSG00000051811
13213	Fras1 related extracellular matrix protein 3	ENSMUSG00000042353
13214	alpha-1,4-N-acetylglucosaminyltransferase	ENSMUSG00000037953
13215	glycerol-3-phosphate dehydrogenase 1-like	ENSMUSG00000050627
13216	fibronectin type III domain containing 3C1	ENSMUSG00000033737
13217	FERM and PDZ domain containing 4	ENSMUSG00000049176
13218	mastermind-like domain containing 1	ENSMUSG00000059401
13219	predicted gene 5134	ENSMUSG00000033255
13220	predicted gene 867	ENSMUSG00000050157
13221	histocompatibility 2, M region locus 10.2	ENSMUSG00000023083
13222	NEDD4 binding protein 2	ENSMUSG00000037795
13223	cytochrome P450, family 3, subfamily a, polypeptide 44	ENSMUSG00000054417
13224	component of oligomeric golgi complex 3	ENSMUSG00000034893
13225	G protein-coupled receptor 21	ENSMUSG00000053164
13226	centlein, centrosomal protein	ENSMUSG00000038070
13227	A kinase (PRKA) anchor protein 17B	ENSMUSG00000059708
13228	FK506 binding protein 15	ENSMUSG00000066151
13229	suppressor of var1, 3-like 1 (S. cerevisiae)	ENSMUSG00000020079
13230	uronyl-2-sulfotransferase	ENSMUSG00000047712
13231	transmembrane protein 241	ENSMUSG00000049411
13232	tripartite motif-containing 65	ENSMUSG00000054517
13233	solute carrier family 41, member 2	ENSMUSG00000034591
13234	MIA SH3 domain ER export factor 3	ENSMUSG00000056050
13235	PH domain containing endocytic trafficking adaptor 2	ENSMUSG00000049687
13236	endonuclease V	ENSMUSG00000039850
13237	mitogen-activated protein kinase kinase kinase 9	ENSMUSG00000042724
13238	ATPase, H+ transporting, lysosomal V1 subunit G3	ENSMUSG00000026394
13239	carnosine dipeptidase 1 (metallopeptidase M20 family)	ENSMUSG00000056162
13241	microrchidia 3	ENSMUSG00000039456
13242	lysine (K)-specific demethylase 7A	ENSMUSG00000042599
13243	developmental pluripotency associated 1	ENSMUSG00000064010
13244	PRAME like 4	ENSMUSG00000073724
13246	PRAME like 7	ENSMUSG00000025839
13247	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	ENSMUSG00000055013
13248	non-coding RNA activated by DNA damage	ENSMUSG00000102869
13249	pleckstrin homology domain containing, family M (with RUN domain) member 1	ENSMUSG00000034247
13252	a disintegrin and metallopeptidase domain 32	ENSMUSG00000037437
13253	enhancer of mRNA decapping 3	ENSMUSG00000038957
13254	aldolase 1 A, retrogene 1	ENSMUSG00000059343
13255	zinc finger protein 931	ENSMUSG00000078861
13256	prune homolog 2	ENSMUSG00000039126
13257	protocadherin alpha 2	ENSMUSG00000104148
13258	protocadherin alpha 8	ENSMUSG00000103800
13259	protocadherin alpha subfamily C, 1	ENSMUSG00000103255
13260	protocadherin alpha subfamily C, 2	ENSMUSG00000102697
13261	mitochondrial ribosomal protein L21	ENSMUSG00000024829
13262	LTV1 ribosome biogenesis factor	ENSMUSG00000019814
13263	Scm-like with four mbt domains 2	ENSMUSG00000061186
13264	ES cell-expressed Ras	ENSMUSG00000031160
13265	C-type lectin domain family 18, member A	ENSMUSG00000033633
13266	zinc finger protein 703	ENSMUSG00000085795
13267	mucin 6, gastric	ENSMUSG00000118661
13268	paternally expressed 13	ENSMUSG00000106847
13269	G protein-coupled receptor 141	ENSMUSG00000053101
13270	3-oxoacid CoA transferase 2B	ENSMUSG00000076438
13272	transmembrane channel-like gene family 4	ENSMUSG00000019734
13273	host cell factor C1 regulator 1 (XPO1-dependent)	ENSMUSG00000023904
13274	deiodinase, iodothyronine type III, opposite strand	ENSMUSG00000113581
13275	H3 clustered histone 1	ENSMUSG00000069265
13276	tripartite motif-containing 46	ENSMUSG00000042766
13277	zinc finger, RAN-binding domain containing 1	ENSMUSG00000030967
13278	spermatogenesis associated glutamate (E)-rich protein 4D	ENSMUSG00000070933
13279	KH domain containing 1A	ENSMUSG00000067750
13280	collagen, type XXVII, alpha 1	ENSMUSG00000045672
13281	taxilin beta	ENSMUSG00000039891
13282	PML-RAR alpha-regulated adaptor molecule 1	ENSMUSG00000032739
13283	MORN repeat containing 2	ENSMUSG00000045257
13284	BPI fold containing family B, member 3	ENSMUSG00000068008
13285	small EDRK-rich factor 2	ENSMUSG00000074884
13286	leucine rich repeat containing 24	ENSMUSG00000033707
13287	retinoic acid early transcript 1E	ENSMUSG00000053219
13288	FAST kinase domains 5	ENSMUSG00000079043
13289	T cell activation GTPase activating protein 1	ENSMUSG00000052031
13290	inturned planar cell polarity protein	ENSMUSG00000060798
13291	cilia and flagella associated protein 54	ENSMUSG00000020014
13292	acyl-CoA synthetase short-chain family member 3	ENSMUSG00000035948
13293	LEM domain containing 3	ENSMUSG00000048661
13294	SEC14-like lipid binding 3	ENSMUSG00000054986
13295	cyclin J-like	ENSMUSG00000044707
13296	solute carrier family 47, member 2	ENSMUSG00000069855
13297	shisa family member 6	ENSMUSG00000053930
13298	transmembrane protein 102	ENSMUSG00000089876
13299	spermatogenesis associated 22	ENSMUSG00000112920
13300	RAP1 GTPase activating protein 2	ENSMUSG00000038807
13301	scavenger receptor class F, member 1	ENSMUSG00000038188
13302	rabphilin 3A-like (without C2 domains)	ENSMUSG00000020847
13303	MKS transition zone complex subunit 1	ENSMUSG00000034121
13304	predicted gene 884	ENSMUSG00000034239
13305	mast cell immunoglobulin like receptor 1	ENSMUSG00000040528
13306	EARP complex and GARP complex interacting protein 1	ENSMUSG00000036613
13307	ataxin 7-like 1	ENSMUSG00000020564
13308	coiled-coil domain containing 177	ENSMUSG00000062961
13309	SRA stem-loop interacting RNA binding protein	ENSMUSG00000021040
13310	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	ENSMUSG00000063232
13311	brain-enriched guanylate kinase-associated	ENSMUSG00000040867
13312	LBH domain containing 2	ENSMUSG00000087075
13313	Immunoglobulin heavy constant epsilon	ENSMUSG00000087642
13315	MRS2 magnesium transporter	ENSMUSG00000021339
13316	serine (or cysteine) peptidase inhibitor, clade B, member 1c	ENSMUSG00000079049
13317	LYR motif containing 4	ENSMUSG00000046573
13318	predicted gene 5141	ENSMUSG00000091183
13319	regulator of sex limited protein 1	ENSMUSG00000058900
13320	zinc finger protein 395	ENSMUSG00000034522
13321	leucine-rich repeats and calponin homology (CH) domain containing 1	ENSMUSG00000068015
13322	asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)	ENSMUSG00000075470
13323	transmembrane protein 106C	ENSMUSG00000052369
13324	NCK-associated protein 5-like	ENSMUSG00000023009
13325	mitochondrial matrix import factor 23	ENSMUSG00000075229
13326	zinc finger protein 229	ENSMUSG00000061544
13327	ATP-binding cassette, sub-family A (ABC1), member 17	ENSMUSG00000035435
13328	coiled-coil domain containing 78	ENSMUSG00000071202
13329	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	ENSMUSG00000040658
13330	regulator of microtubule dynamics 2	ENSMUSG00000036368
13331	cyclin-dependent kinase-like 4	ENSMUSG00000033966
13332	calpain 13	ENSMUSG00000043705
13333	GRB2 associated regulator of MAPK1 subtype 1	ENSMUSG00000042680
13334	ADP-ribosylation factor-like 14 effector protein-like	ENSMUSG00000073568
13335	growth regulation by estrogen in breast cancer-like	ENSMUSG00000042942
13336	predicted gene 960	ENSMUSG00000071691
13337	transmembrane protein 151A	ENSMUSG00000061451
13338	solute carrier family 22 (organic anion transporter), member 20	ENSMUSG00000037451
13339	endosomal transmembrane epsin interactor 1	ENSMUSG00000071604
13340	spermatogenesis associated 6 like	ENSMUSG00000064202
13342	lipase, member O3	ENSMUSG00000024766
13343	transmembrane protein 237	ENSMUSG00000038079
13344	membrane associated ring-CH-type finger 4	ENSMUSG00000039372
13345	Holliday junction recognition protein	ENSMUSG00000044783
13346	serine (or cysteine) peptidase inhibitor, clade B, member 3C	ENSMUSG00000073601
13347	FIGNL1 interacting regulator of recombination and mitosis	ENSMUSG00000041406
13348	interferon activated gene 211	ENSMUSG00000026536
13349	mechanosensory transduction mediator	ENSMUSG00000053963
13350	isoleucine-tRNA synthetase 2, mitochondrial	ENSMUSG00000026618
13351	NSL1, MIS12 kinetochore complex component	ENSMUSG00000062510
13352	galactose-3-O-sulfotransferase 2	ENSMUSG00000094651
13353	family with sequence similarity 178, member B	ENSMUSG00000046337
13354	LON peptidase N-terminal domain and ring finger 2	ENSMUSG00000048814
13355	transmembrane protein 182	ENSMUSG00000079588
13356	sperm associated antigen 6	ENSMUSG00000037708
13357	apical junction component 1	ENSMUSG00000029419
13358	calcium channel flower domain containing 1	ENSMUSG00000015488
13359	PR domain containing 12	ENSMUSG00000079466
13360	trans-acting transcription factor 9	ENSMUSG00000068859
13361	pejvakin	ENSMUSG00000075267
13362	mediator complex subunit 19	ENSMUSG00000027080
13363	RIKEN cDNA 4921509C19 gene	ENSMUSG00000061525
13364	BPI fold containing family B, member 4	ENSMUSG00000074665
13365	poly(A) binding protein, cytoplasmic 1-like	ENSMUSG00000054582
13366	cadherin-like 26	ENSMUSG00000039155
13367	zinc finger protein 408	ENSMUSG00000075040
13368	1-aminocyclopropane-1-carboxylate synthase (non-functional)-like	ENSMUSG00000075023
13369	G protein-coupled receptor 176	ENSMUSG00000040133
13370	cornulin	ENSMUSG00000078657
13371	nuclear receptor subfamily 1, group H, member 5	ENSMUSG00000048938
13372	S100 calcium binding protein A7A	ENSMUSG00000063767
13373	dpy-19-like 4 (C. elegans)	ENSMUSG00000045205
13374	pyruvate dehydrogenase phosphatase catalytic subunit 1	ENSMUSG00000049225
13375	ubiquitin-conjugating enzyme E2U (putative)	ENSMUSG00000069733
13376	armadillo-like helical domain containing 1	ENSMUSG00000060268
13377	zinc finger protein 69	ENSMUSG00000064141
13378	X-linked Kx blood group related 8	ENSMUSG00000037752
13381	transmembrane protein 240	ENSMUSG00000084845
13382	TBC1 domain family, member 2	ENSMUSG00000039813
13383	RNA binding motif protein 33	ENSMUSG00000048271
13385	all-trans retinoic acid induced differentiation factor	ENSMUSG00000013622
13386	centrosomal protein 135	ENSMUSG00000036403
13388	leucine rich colipase-like 1	ENSMUSG00000072754
13389	fibrosin-like 1	ENSMUSG00000043323
13390	zinc finger, CW type with PWWP domain 1	ENSMUSG00000037108
13391	karyopherin alpha 7 (importin alpha 8)	ENSMUSG00000038770
13392	WD40 repeat domain 95	ENSMUSG00000029658
13393	beta-3-glucosyltransferase	ENSMUSG00000051950
13394	NEDD4 binding protein 2-like 2	ENSMUSG00000029655
13395	PTTG1IP family member 2	ENSMUSG00000079666
13396	dynein regulatory complex subunit 1	ENSMUSG00000073102
13397	WEE1 homolog 2 (S. pombe)	ENSMUSG00000037159
13398	immunoglobulin kappa variable 2-112	ENSMUSG00000076518
13399	immunoglobulin kappa variable 1-110	ENSMUSG00000093861
13400	immunoglobulin kappa chain variable 5-43	ENSMUSG00000094433
13401	immunoglobulin kappa chain variable 6-25	ENSMUSG00000094930
13402	TatD DNase domain containing 2	ENSMUSG00000056952
13403	tRNA splicing endonuclease subunit 2	ENSMUSG00000042389
13404	C-type lectin domain family 4, member b2	ENSMUSG00000067767
13405	calcium release activated channel regulator 2A	ENSMUSG00000061414
13407	small integral membrane protein 10 like 1	ENSMUSG00000072704
13408	apolipoprotein L domain containing 1	ENSMUSG00000090698
13409	SH3 domain binding kinase family, member 3	ENSMUSG00000085272
13410	ring finger protein 225	ENSMUSG00000033967
13411	ovo like zinc finger 3	ENSMUSG00000100512
13412	asparagine-linked glycosylation 8 (alpha-1,3-glucosyltransferase)	ENSMUSG00000035704
13413	dynein, axonemal, heavy chain 3	ENSMUSG00000052273
13414	TAO kinase 2	ENSMUSG00000059981
13415	integrin, alpha D	ENSMUSG00000070369
13416	phospholipid phosphatase 4	ENSMUSG00000070366
13417	sperm flagellar 1 like	ENSMUSG00000073795
13418	ubiquitin specific peptidase 17-like B	ENSMUSG00000062369
13419	secretoglobin, family 2B, member 2	ENSMUSG00000036521
13420	lemur tyrosine kinase 3	ENSMUSG00000062044
13421	zinc finger and BTB domain containing 2	ENSMUSG00000075327
13422	defensin, alpha, 39	ENSMUSG00000058618
13424	anoctamin 8	ENSMUSG00000034863
13425	zinc finger protein 882	ENSMUSG00000089857
13426	CTD nuclear envelope phosphatase 1 regulatory subunit 1	ENSMUSG00000036810
13427	genetic suppressor element 1, coiled-coil protein	ENSMUSG00000031822
13428	poly(A)binding protein nuclear 1-like	ENSMUSG00000069867
13429	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	ENSMUSG00000031976
13430	adhesion G protein-coupled receptor G5	ENSMUSG00000061577
13431	pyruvate dehydrogenase phosphatase catalytic subunit 2	ENSMUSG00000048371
13432	carboxylesterase 3A	ENSMUSG00000069922
13433	defensin, alpha, 22	ENSMUSG00000074443
13434	cDNA sequence AB124611	ENSMUSG00000057191
13435	predicted gene 1110	ENSMUSG00000079644
13436	PR domain containing 10	ENSMUSG00000042496
13437	forkhead box R1	ENSMUSG00000074397
13438	coiled-coil domain containing 33	ENSMUSG00000037716
13439	sorting nexin 22	ENSMUSG00000039452
13440	oocyte maturation, beta	ENSMUSG00000038750
13441	ripply transcriptional repressor 2	ENSMUSG00000047897
13442	centrosomal protein 162	ENSMUSG00000056919
13443	predicted gene 1123	ENSMUSG00000044860
13444	F-box and WD-40 domain protein 15	ENSMUSG00000074060
13445	F-box and WD-40 domain protein 24	ENSMUSG00000062275
13446	F-box and WD-40 domain protein 26	ENSMUSG00000059547
13447	solute carrier family 22 (organic cation transporter), member 14	ENSMUSG00000070280
13448	T cell activation inhibitor, mitochondrial	ENSMUSG00000046603
13449	ferredoxin-fold anticodon binding domain containing 1	ENSMUSG00000037845
13450	jade family PHD finger 3	ENSMUSG00000037315
13451	reproductive homeobox 3A	ENSMUSG00000071772
13453	bromodomain and WD repeat domain containing 3	ENSMUSG00000063663
13454	transmembrane protein 29	ENSMUSG00000041353
13455	Bclaf1 and Thrap3 family member 3	ENSMUSG00000044150
13456	Sycp3 like Y-linked	ENSMUSG00000101155
13458	outer dense fiber of sperm tails 3-like 2	ENSMUSG00000035963
13459	POC1 centriolar protein B	ENSMUSG00000019952
13461	ataxin 7-like 3B	ENSMUSG00000074748
13462	bestrophin 3	ENSMUSG00000020169
13463	H2B.U histone 1, pseudogene	ENSMUSG00000080712
13464	ankyrin-repeat and fibronectin type III domain containing 1	ENSMUSG00000047773
13465	CD300 molecule like family member D3	ENSMUSG00000069607
13466	profilin family, member 4	ENSMUSG00000020639
13467	potassium voltage-gated channel, subfamily F, member 1	ENSMUSG00000051726
13468	transmembrane p24 trafficking protein 8	ENSMUSG00000034111
13469	zinc finger and BTB domain containing 42	ENSMUSG00000037638
13470	metaxin 3	ENSMUSG00000021704
13471	zinc finger protein 488	ENSMUSG00000044519
13473	yippee like 5	ENSMUSG00000039770
13474	potassium channel tetramerisation domain containing 16	ENSMUSG00000051401
13475	membrane-spanning 4-domains, subfamily A, member 14	ENSMUSG00000099398
13476	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3B	ENSMUSG00000073602
13477	odorant binding protein 2B	ENSMUSG00000079539
13478	GLI pathogenesis-related 2	ENSMUSG00000028480
13479	solute carrier family 25, member 34	ENSMUSG00000040740
13480	ADP-ribosylation factor-like 9	ENSMUSG00000063820
13481	family with sequence similarity 47, member E	ENSMUSG00000057068
13482	glutamyl-tRNA(Gln) amidotransferase, subunit C	ENSMUSG00000029536
13483	tripartite motif-containing 56	ENSMUSG00000043279
13485	immunoglobulin kappa variable 4-68	ENSMUSG00000076549
13486	secretoglobin, family 1B, member 3	ENSMUSG00000095257
13487	KASH domain containing 5	ENSMUSG00000038292
13489	zinc finger protein 667	ENSMUSG00000054893
13491	peptidoglycan recognition protein 4	ENSMUSG00000042250
13493	reproductive homeobox 1	ENSMUSG00000071773
13494	kininogen 2	ENSMUSG00000060459
13495	zinc finger protein 174	ENSMUSG00000054939
13496	corneodesmosin	ENSMUSG00000039518
13497	ring finger protein 133	ENSMUSG00000051956
13498	THO complex 6	ENSMUSG00000041319
13499	NSFL1 (p97) cofactor (p47)	ENSMUSG00000027455
13500	EP300 interacting inhibitor of differentiation 2	ENSMUSG00000046058
13501	SLIT and NTRK-like family, member 3	ENSMUSG00000048304
13521	transmembrane and tetratricopeptide repeat containing 1	ENSMUSG00000030306
13531	taste receptor, type 2, member 126	ENSMUSG00000048284
13534	taste receptor, type 2, member 135	ENSMUSG00000056203
13536	zinc and ring finger 2	ENSMUSG00000058446
13537	CD300C molecule	ENSMUSG00000058728
13539	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3D	ENSMUSG00000058017
13540	UDP glucuronosyltransferase 1 family, polypeptide A7C	ENSMUSG00000090124
13542	UDP glucuronosyltransferase 1 family, polypeptide A9	ENSMUSG00000090175
13543	fibronectin leucine rich transmembrane protein 1	ENSMUSG00000047787
13544	small nucleolar RNA host gene 3	ENSMUSG00000085241
13545	mitogen-activated protein kinase kinase kinase kinase 5	ENSMUSG00000034761
13546	CDAN1 interacting nuclease 1	ENSMUSG00000040282
